YEAR_MONTH,Herkunftsland,ASYLANTRAEGE insgesamt
2017-01,Herkunftslaender gesamt ,16057 
2017-02,Herkunftslaender gesamt ,14951 
2017-03,Herkunftslaender gesamt ,18081 
2017-04,Herkunftslaender gesamt,14848
2017-05,Herkunftslaender gesamt,15097
2017-06,Herkunftslaender gesamt,13685
2017-07,Herkunftslaender gesamt,15001
2017-08,Herkunftslaender gesamt,16633
2017-09,Herkunftslaender gesamt,14568
2017-10,Herkunftslaender gesamt,17028
2017-11,Herkunftslaender gesamt,18711
2017-12,Herkunftslaender gesamt,12487
2018-01,Herkunftslaender gesamt,12907
2018-02,Herkunftslaender gesamt,12490
2018-03,Herkunftslaender gesamt,12622
2018-04,Herkunftslaender gesamt,13163
2018-05,Herkunftslaender gesamt,12494
2018-06,Herkunftslaender gesamt,13254
