Herkunftsland,ENTSCHEIDUNGEN über Asylanträge insgesamt,ASYLANTRÄGE insgesamt
"Syrien, Arabische Republik",105620,162510
Albanien,35721,54762
Kosovo,29801,37095
Serbien,22341,26945
Irak,16796,31379
Eritrea,10099,10990
Mazedonien,8245,14131
Bosnien und Herzegowina,6500,7473
Afghanistan,5966,31902
Russische Föderation,4832,6200
Ungeklärt,4128,12166
"Iran, Islamische Republik",2664,5732
Georgien,2360,3196
sonst. asiat. Staatsangeh.,2332,3372
Montenegro,2297,3635
Staatenlos,2158,4027
Somalia,2038,5392
Pakistan,2015,8472
Nigeria,1149,5302
Algerien,1119,2240
Ukraine,1008,4658
Marokko,962,1747
Türkei,887,1767
Ägypten,864,1077
Armenien,693,2160
Gambia,603,3110
Ghana,567,1152
Indien,551,1889
Tunesien,524,923
Sudan (ohne Südsudan),479,1080
Libanon,448,1421
Bangladesch,447,839
Guinea,413,741
Äthiopien,394,2168
Aserbaidschan,390,1497
Kamerun,381,1004
Libyen,358,1152
Elfenbeinküste (Cote d Ivoire),347,564
Mali,336,562
Vietnam,305,705
Guinea-Bissau,222,401
Senegal,215,1205
Mongolei,212,381
Sri Lanka,210,358
Tadschikistan,178,299
Kenia,166,144
China,166,553
"Kongo, Dem. Republik",164,166
Tschad,149,143
Burkina-Faso,127,219
Staatsangehörigkeit ohne Bezeichnung,116,282
Niger,106,184
Benin,103,368
Kasachstan,87,124
Mauretanien,86,157
sonst. afrik. Staatsangeh.,81,56
Sierra Leone,76,306
Jemen,76,349
Kirgisistan,71,96
Weißrußland,70,296
Angola,66,55
Togo,64,250
Jordanien,61,151
Turkmenistan,52,361
Liberia,46,92
Moldau (Republik),44,1567
sonst. europ. Staatsangeh.,38,6
Kuba,35,91
Ruanda,32,39
Bulgarien,28,17
Bahrain,27,13
Uganda,25,78
Südsudan,24,50
Kroatien,22,20
Kongo,22,48
Myanmar,22,56
Simbabwe,17,8
Honduras,15,21
Nepal,15,13
Kolumbien,13,4
Usbekistan,12,23
Tschechische Republik,11,3
Tansania,11,36
Brasilien,11,5
Jamaica,11,14
Philippinen,11,10
Ungarn,10,8
Dschibuti,9,20
ohne Angabe,9,40
Gabun,7,6
Zentralafrikanische Republik,7,28
Venezuela,7,21
Italien,6,11
Rumänien,6,7
Burundi,6,7
Griechenland,5,13
Sambia,5,3
Namibia,5,4
Vereinigte Staaten v. Amerika,5,10
Bhutan,5,0
Kambodscha,5,4
Frankreich,4,3
Botsuana,4,1
Südafrika,4,16
Mexico,4,7
Korea (Demokrat. Volksrepubl.),4,35
Schweden,3,2
Dominikanische Republik,3,3
Peru,3,3
Israel,3,13
Saudi Arabien,3,17
Belgien,2,3
Estland,2,0
Lettland,2,2
Litauen,2,1
Polen,2,7
Portugal,2,3
Großbritannien mit Nordirland,2,4
Mauritius,2,1
Malawi,2,3
Chile,2,1
Haiti,2,7
Nicaragua,2,3
Indonesien,2,5
Korea (Republik),2,5
Niederlande,1,2
Spanien,1,2
Zypern,1,2
Lesotho,1,1
Äquatorialguinea,1,4
Swasiland,1,0
Argentinien,1,3
Suriname,1,0
Trinidad und Tobago,1,1
Japan,1,0
China (Taiwan),1,16
Australien,1,0
Slowenien,0,1
Slowakische Republik,0,1
Schweiz,0,0
Cabo Verde,0,1
Komoren,0,8
Mosambik,0,0
Belize,0,1
Ecuador,0,1
El Salvador,0,1
Grenada,0,1
Guatemala,0,0
Kanada,0,1
Paraguay,0,5
Katar,0,1
Kuwait,0,3
"Laos, Demokratische Volksrepublik",0,0
Oman,0,2
Vereinigte arabische Emirate,0,6
Thailand,0,2
Malaysia,0,0
Neuseeland,0,1
