YEAR_MONTH,ASYLANTRAEGE davon Erstantraege
2015-01,165
2015-02,143
2015-03,107
2015-04,97
2015-05,133
2015-06,134
2015-07,89
2015-08,77
2015-09,115
2015-10,80
2015-11,125
2015-12,79
2016-01,94
2016-02,189
2016-03,167
2016-04,272
2016-05,312
2016-06,459
2016-07,525
2016-08,732
2016-09,669
2016-10,575
2016-11,671
2016-12,528
2017-01,580
2017-02,492
2017-03,477
2017-04,423
2017-06,454
2017-07,564
2017-08,829
2017-09,989
2017-10,1038
2017-11,1050
2017-12,494
2018-01,737
2018-02,604
2018-03,583
2018-04,506
2018-05,652
2018-06,884
2018-07,1141
2018-08,1212
2018-09,1057
2018-10,1158
2018-11,883
2018-12,530
