Herkunftsland,ASYLANTRÄGE insgesamt
"Syrien, Arabische Republik",162510
Albanien,54762
Kosovo,37095
Afghanistan,31902
Irak,31379
Serbien,26945
Mazedonien,14131
Ungeklärt,12166
Eritrea,10990
Pakistan,8472
Bosnien und Herzegowina,7473
Russische Föderation,6200
"Iran, Islamische Republik",5732
Somalia,5392
Nigeria,5302
Ukraine,4658
Staatenlos,4027
Montenegro,3635
sonst. asiat. Staatsangeh.,3372
Georgien,3196
Gambia,3110
Algerien,2240
Äthiopien,2168
Armenien,2160
Indien,1889
Türkei,1767
Marokko,1747
Moldau (Republik),1567
Aserbaidschan,1497
Libanon,1421
Senegal,1205
Ghana,1152
Libyen,1152
Sudan (ohne Südsudan),1080
Ägypten,1077
Kamerun,1004
Tunesien,923
Bangladesch,839
Guinea,741
Vietnam,705
Elfenbeinküste (Cote d Ivoire),564
Mali,562
China,553
Guinea-Bissau,401
Mongolei,381
Benin,368
Turkmenistan,361
Sri Lanka,358
Jemen,349
Sierra Leone,306
Tadschikistan,299
Weißrußland,296
Staatsangehörigkeit ohne Bezeichnung,282
Togo,250
Burkina-Faso,219
Niger,184
"Kongo, Dem. Republik",166
Mauretanien,157
Jordanien,151
Kenia,144
Tschad,143
Kasachstan,124
Kirgisistan,96
Liberia,92
Kuba,91
Uganda,78
sonst. afrik. Staatsangeh.,56
Myanmar,56
Angola,55
Südsudan,50
Kongo,48
ohne Angabe,40
Ruanda,39
Tansania,36
Korea (Demokrat. Volksrepubl.),35
Zentralafrikanische Republik,28
Usbekistan,23
Honduras,21
Venezuela,21
Kroatien,20
Dschibuti,20
Bulgarien,17
Saudi Arabien,17
Südafrika,16
China (Taiwan),16
Jamaica,14
Griechenland,13
Bahrain,13
Israel,13
Nepal,13
Italien,11
Vereinigte Staaten v. Amerika,10
Philippinen,10
Ungarn,8
Simbabwe,8
Komoren,8
Polen,7
Rumänien,7
Burundi,7
Haiti,7
Mexico,7
sonst. europ. Staatsangeh.,6
Gabun,6
Vereinigte arabische Emirate,6
Brasilien,5
Paraguay,5
Indonesien,5
Korea (Republik),5
Großbritannien mit Nordirland,4
Namibia,4
Äquatorialguinea,4
Kolumbien,4
Kambodscha,4
Belgien,3
Frankreich,3
Portugal,3
Tschechische Republik,3
Malawi,3
Sambia,3
Argentinien,3
Dominikanische Republik,3
Nicaragua,3
Peru,3
Kuwait,3
Lettland,2
Niederlande,2
Schweden,2
Spanien,2
Zypern,2
Oman,2
Thailand,2
Slowenien,1
Litauen,1
Slowakische Republik,1
Lesotho,1
Botsuana,1
Cabo Verde,1
Mauritius,1
Belize,1
Chile,1
Ecuador,1
El Salvador,1
Grenada,1
Kanada,1
Trinidad und Tobago,1
Katar,1
Neuseeland,1
Estland,0
Schweiz,0
Mosambik,0
Swasiland,0
Guatemala,0
Suriname,0
Bhutan,0
Japan,0
"Laos, Demokratische Volksrepublik",0
Malaysia,0
Australien,0
