geo\time,2016M02 ,2016M03 ,2016M04 ,2016M05 ,2016M06 ,2016M07 ,2016M08 ,2016M09 ,2016M10 ,2016M11 ,2016M12 ,2017M01 
AT,85205 ,84515 ,85005 ,84675 ,83170 ,82050 ,82195 ,81375 ,80795 ,78815 ,77445 ,0 
BE,35785 ,33750 ,32480 ,31060 ,28980 ,28265 ,27700 ,26410 ,25690 ,25240 ,24735 ,24045 
BG,7440 ,7000 ,7165 ,7165 ,8825 ,9810 ,12195 ,13720 ,15260 ,15850 ,15595 ,  
CH,35465 ,35005 ,34145 ,33400 ,33045 ,33130 ,33145 ,32820 ,32795 ,32260 ,31475 ,30595 
CY,2180 ,2100 ,2195 ,2095 ,2085 ,2165 ,2270 ,2390 ,  ,  ,  ,  
CZ,720 ,680 ,690 ,650 ,600 ,600 ,640 ,680 ,740 ,750 ,  ,  
DE,454670 ,473010 ,497210 ,528680 ,571475 ,610325 ,664690 ,689725 ,674560 ,635515 ,601905 ,  
DK,14465 ,13615 ,12685 ,11425 ,10960 ,10090 ,9160 ,8485 ,8095 ,7540 ,7020 ,  
EE,85 ,80 ,80 ,110 ,100 ,90 ,80 ,65 ,70 ,75 ,70 ,  
EL,25915 ,27370 ,28715 ,27955 ,30080 ,28640 ,29845 ,32005 ,34745 ,37880 ,  ,  
ES,18025 ,18805 ,19460 ,19595 ,18695 ,18410 ,19315 ,18920 ,19455 ,19720 ,20365 ,21625 
FI,26165 ,24725 ,23690 ,22045 ,21415 ,19370 ,18900 ,18255 ,17150 ,16175 ,15000 ,  
FR,41920 ,42855 ,43655 ,43515 ,42970 ,44095 ,45300 ,45640 ,46030 ,45635 ,44070 ,  
HR,95 ,190 ,240 ,250 ,280 ,295 ,340 ,345 ,365 ,500 ,495 ,  
HU,3070 ,5225 ,7165 ,7465 ,9665 ,8505 ,8090 ,7535 ,6415 ,4945 ,3415 ,  
IE,4630 ,4565 ,4270 ,3930 ,4000 ,3805 ,3670 ,3600 ,3430 ,3385 ,  ,  
IS,315 ,340 ,365 ,350 ,360 ,385 ,410 ,525 ,655 ,690 ,  ,  
IT,62825 ,59960 ,61215 ,63930 ,70735 ,72700 ,76920 ,81325 ,87310 ,95100 ,99920 ,  
LI,95 ,95 ,100 ,105 ,95 ,95 ,90 ,90 ,85 ,  ,  ,  
LT,95 ,80 ,75 ,80 ,100 ,130 ,190 ,190 ,220 ,225 ,  ,  
LU,2625 ,2570 ,2565 ,2600 ,2615 ,2530 ,2585 ,2395 ,2385 ,2410 ,2465 ,  
LV,205 ,200 ,220 ,190 ,220 ,230 ,215 ,195 ,225 ,245 ,225 ,  
MT,650 ,690 ,620 ,595 ,680 ,640 ,760 ,805 ,985 ,1010 ,  ,  
NL,26495 ,24030 ,21470 ,19035 ,16370 ,14570 ,13525 ,12780 ,12800 ,12615 ,12245 ,  
NO,22380 ,21345 ,18870 ,17570 ,15820 ,13930 ,12795 ,11025 ,8725 ,7615 ,7005 ,6475 
PL,3140 ,3185 ,3130 ,3140 ,2675 ,2600 ,2860 ,2755 ,3305 ,2770 ,2880 ,2845 
PT,25 ,40 ,35 ,40 ,45 ,50 ,45 ,65 ,70 ,  ,  ,  
RO,390 ,370 ,365 ,365 ,425 ,470 ,490 ,480 ,765 ,810 ,  ,  
SE,151900 ,147275 ,142135 ,137450 ,130885 ,124415 ,119500 ,111975 ,102680 ,91140 ,82960 ,82305 
SI,405 ,485 ,415 ,430 ,365 ,355 ,435 ,325 ,420 ,560 ,555 ,  
SK,120 ,120 ,120 ,80 ,55 ,55 ,75 ,90 ,80 ,90 ,95 ,  
UK,34815 ,34055 ,34460 ,34285 ,34650 ,34100 ,33915 ,33905 ,33690 ,33085 ,32700 ,  
