Eritrea,224,9.723,9.394,329,20.955,571,9.050,6.983,690,418,3.243,1.988,93,570,8.992,6.950,569,415,2.954,1,58,33,121,3,65,224
Nigeria,232,7.523,7.122,401,22.110,36,1.401,247,1.995,12.136,6.295,4.331,333,36,1.377,245,1.891,12.017,5.716,-,24,2,104,119,177,402
Sierra Leone,272,855,819,36,1.873,1,142,16,166,939,609,229,24,1,142,16,162,914,542,-,-,-,4,25,26,41
Somalia,273,7.033,6.357,676,17.887,18,4.664,4.191,2.080,2.226,4.708,3.136,300,18,4.586,4.134,1.850,2.173,3.966,-,78,57,230,53,194,548
China (Hongkong),411,3,3,-,1,-,-,-,-,-,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Afghanistan,423,17.206,15.521,1.685,112.109,100,17.382,6.735,25.579,55.050,7.263,9.376,528,99,17.180,6.664,25.102,54.676,5.694,1,202,71,477,374,938,631
Irak,438,21.861,20.327,1.534,69.487,327,23.618,13.749,1.579,21.517,8.697,6.662,508,324,23.316,13.494,1.411,21.126,7.240,3,302,255,168,391,676,781
"Iran, Islamische Republik",439,8.642,8.127,515,29.432,526,13.212,633,325,10.868,3.868,3.399,216,520,12.974,628,265,10.673,3.419,6,238,5,60,195,292,157
Pakistan,461,4.153,3.511,642,19.915,30,448,93,280,14.552,4.512,1.132,208,30,436,91,258,14.262,3.534,-,12,2,22,290,542,436
China (Taiwan),465,3,3,-,7,-,-,-,-,5,2,3,1,-,-,-,-,5,2,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,46.759,45.427,1.332,95.642,695,32.773,53.798,498,130,7.748,11.872,425,695,32.161,52.976,394,104,6.844,-,612,822,104,26,606,298
China,479,566,497,69,1.891,65,129,25,18,1.112,542,167,21,65,123,24,16,1.090,477,-,6,1,2,22,47,18
Herkunftslaender gesamt,"",207.157,184.796,22.361,578.995,4.066,115.415,94.621,38.129,223.108,103.656,69.761,5.899,4.048,113.587,93.163,36.427,216.959,78.203,18,1.828,1.458,1.702,6.149,16.657,8.796
