Herkunftsland,ISO-alpha-3,ASYLANTRAEGE davon Erstantraege
Niger,NER, 84
Myanmar,MMR, 84
Ruanda,RWA, 93
Burkina-Faso,BWA, 98
Tansania,TZA, 99
Benin,BEN,108
Simbabwe,ZWE,114
Kolumbien,COL,133
Uganda,UGA,149
Montenegro,MNE,152
Mongolei,MNG, 160
Liberia,LBR,177
Bangladesch,BGD,177
Weissrussland,BLR,178
Guinea-Bissau,GNB,186
Jordanien,JOR,186
"Kongo, Dem. Republik",COD,238
Angola,AGO,266
Senegal,SEN,271
Togo,TGO,295
Mali,MLI,297
Kenia,KEN,311
Sri Lanka,LKA,319
China,CHN,403
Venezuela,VEN,404
Bosnien und Herzegowina,BIH,408
Tadschikistan,TJK,411
Sierra Leone,SLE,412
Kosovo,RKS,563
Tunesien,TUN,573
Vietnam,VNM,616
Libanon,LBN,646
Aegypten,EGY,659
Elfenbeinkueste (Cote d Ivoire),CIV,677
Sudan (ohne Suedsudan),SDN,776
Indien,IND,832
Ghana,GHA,863
Libyen,LBY,867
Jemen,YEM,894
Kamerun,CMR,919
Ukraine,UKR,1061
Marokko,MAR,1096
Serbien,SRB,1101
Aethiopien,ETH,1116
Staatenlos,XXX,1126
Algerien,DZA,1199
Mazedonien,MKD,1247
Gambia,GMB,1380
Armenien,ARM,1512
Moldau (Republik),MDA,1782
Aserbaidschan,AZE,1783
Albanien,ALB,1877
Pakistan,PAK,2211
Guinea,GIN,2873
Georgien,GEO,3764
Russische Foederation,RUS,3938
Ungeklaert,XXX,4220
Somalia,SOM,5073
Eritrea,ERI,5571
Afghanistan,AFG,9942
Tuerkei,TUR,10160
Nigeria,NGA,10168
"Iran, Islamische Republik",IRN,10857
Irak,IRQ,16333
"Syrien, Arabische Republik",SYR,44167
